"ID";"Type";"Name";"Documentation";"Source";"Target";"Specialization"
"id-3933ae020b5b402eaa9cffe9caf943dc";"AggregationRelationship";"";"";"id-0a922c67c5864a3b826ed4f08f0d83e7";"id-08bc8346417f44dd9251c58cab455d0b";""
"id-f67738f4669045b0bce07ae792333e9e";"AggregationRelationship";"";"";"id-a9de1e4c97534eb683d14f1e5139328c";"id-60a67ea9489947368a1fe9d806d7ba4c";""
"id-1daa105eecb84aa8a361093547b0d346";"AggregationRelationship";"";"";"id-5204f01a814948919511915ca2d242a3";"id-b591e44e6a684f2c85a9e8e88816ba9c";""
"id-f737a26973cb4d45b553181c6ac7fa39";"AggregationRelationship";"";"";"id-5204f01a814948919511915ca2d242a3";"id-6eefa6979e234d69b269766299e1dbb7";""
"id-957ff5c756bb4947aab624360d724cbe";"AggregationRelationship";"";"";"id-69c7fe16c4b34840bd7d9c95b3ec093e";"id-06c7b30b74324a798b19e2e9974c9e5c";""
"id-d120b91061af403aa9e420f3ecf30ab1";"AggregationRelationship";"";"";"id-69c7fe16c4b34840bd7d9c95b3ec093e";"id-45b2f30be92d48d79a6d76e02adb1fb1";""
"id-6cc261ec8b5b499581f756e450bd8c9f";"AggregationRelationship";"";"";"id-a6673d7052544846ac70213f7429ebe6";"id-bcee79f5a155458e854c3347298eb478";""
"id-e11ea5575b1443b2a1638275c83a2194";"AggregationRelationship";"";"";"id-a6673d7052544846ac70213f7429ebe6";"id-d0f71d4638ab46289dbc9029bc081844";""
"id-040e0a61b69e4c9a9796f2cb64a68ea5";"AggregationRelationship";"";"";"id-a11e75494584478aad72360d2b78b750";"id-17e3c13511e9469680c125e25db76d59";""
"id-7ec6f27a951345d99f660c57a4cfea5a";"AggregationRelationship";"";"";"id-a2d21ae933d64ad8a8e26c912acf5210";"id-b501050d4ec145759a3310408f1e6998";""
"id-d0363cb6f90c4b6f9a088d267b1c4ede";"AggregationRelationship";"";"";"id-a2d21ae933d64ad8a8e26c912acf5210";"id-648256d031d446c8965510d25f3c3e3a";""
"id-ed69068fbbe647c586866dd7a8206915";"AssignmentRelationship";"";"";"id-be7731859dff47ee99e3eb82546476c3";"id-8b2d8b6f780d4355943fbfa66deea48b";""
"id-65b7b9fb50cb4210ba0444ebbf87a350";"AssignmentRelationship";"";"";"id-16e35ef8f5734fc799d1a8e71c3e1e80";"id-379e50da41e4489a906315083fac9b44";""
"id-a149661a356e4995acc5d8965807df36";"AssignmentRelationship";"";"";"id-648256d031d446c8965510d25f3c3e3a";"id-466b709d0230428a98b7a42d1b2b82eb";""
"id-678adf787f6f45bfbee36ba458b90ef1";"AssignmentRelationship";"";"";"id-97345fb18fa3489b805ce0ff70e8c2b0";"id-38d9835262b640d7924c2ae37113c49e";""
"id-70edbd7dbacf4af5be20e347e578cbe1";"AssignmentRelationship";"";"";"id-97345fb18fa3489b805ce0ff70e8c2b0";"id-07b95f7382f84e96be0d38803df4d5b9";""
"id-d73d07a074a8473e82385e750e1243d3";"AssignmentRelationship";"";"";"id-97345fb18fa3489b805ce0ff70e8c2b0";"id-0b4b90b820e44b25a985b2057a8f4f82";""
"id-b5b5fda98a4844d58caeb3c3fd9f3e3c";"AssignmentRelationship";"";"";"id-bcee79f5a155458e854c3347298eb478";"id-2f3fe8c9e7274541a5d494f8e8caecef";""
"id-9d28dab448964401b148af7f55bd051b";"AssignmentRelationship";"";"";"id-bcee79f5a155458e854c3347298eb478";"id-f285f6424b3b44ab80222c7b224de3ff";""
"id-df378d7f6b424bd790a37c887335d017";"AssignmentRelationship";"";"";"id-bcee79f5a155458e854c3347298eb478";"id-ba15d8fe78c147dc9a97344e1c1d1ffa";""
"id-8689b6d8ea1b4331b004f66fbc1e9d39";"AssignmentRelationship";"";"";"id-be7731859dff47ee99e3eb82546476c3";"id-dc114c3d90694f878eb5588a72edef37";""
"id-44dec929d0f243d4a526892494b9378e";"AssignmentRelationship";"";"";"id-be7731859dff47ee99e3eb82546476c3";"id-9ff5d8b1ea8e4a1eaea060fc31d782c5";""
"id-c0bc771cc2154078914991bee39543ed";"AssignmentRelationship";"";"";"id-be7731859dff47ee99e3eb82546476c3";"id-d6fa6589514d484d8545cd38f9d550d8";""
"id-9fbda141a0e3487289136f0608d72baf";"AssignmentRelationship";"";"";"id-be7731859dff47ee99e3eb82546476c3";"id-67d92293805648fcb995e897cfe7d790";""
"id-e272c97447c841f79bda3d670e291a75";"AssociationRelationship";"";"";"id-ad3798e4cd9a4447adab36b74d97484e";"id-d1ab959fb10043b79d57681bfa1ded32";""
"id-871ef5348e184af3835903ee05323c55";"AssociationRelationship";"";"";"id-0a922c67c5864a3b826ed4f08f0d83e7";"id-d1ab959fb10043b79d57681bfa1ded32";""
"id-f1f620dd678f426ebfb7dd7d51a3a884";"AssociationRelationship";"";"";"id-d7531fa58880471f93d51a2c4f9ef407";"id-d1ab959fb10043b79d57681bfa1ded32";""
"id-97af1fecf6e94a1aba4c8823ad29cd63";"AssociationRelationship";"";"";"id-d7531fa58880471f93d51a2c4f9ef407";"id-cea8599b5c1c4728bd5c05519c96a1b3";""
"id-c04406efac5f41159bc0991425b723d2";"AssociationRelationship";"";"";"id-a5c6dca4bd2d44c8811afe2a64e5750c";"id-cea8599b5c1c4728bd5c05519c96a1b3";""
"id-a889fc93da97475185e08b387c5bbb69";"AssociationRelationship";"";"";"id-f6556569672c4638abe9e9ea269c3f2e";"id-cea8599b5c1c4728bd5c05519c96a1b3";""
"id-674b3a61dc9b4157ae2505835dc71b36";"AssociationRelationship";"";"";"id-08bc8346417f44dd9251c58cab455d0b";"id-d17058d2bb654f21b18518f250c6e9e4";""
"id-f72d31ced8564f24b9c5bee8f9846446";"AssociationRelationship";"";"";"id-08bc8346417f44dd9251c58cab455d0b";"id-765f23d6e35b4b8b9f1cc91b44fde434";""
"id-7bcf6bffffba4d089fec3b64268cc17f";"AssociationRelationship";"";"";"id-365161b6bb3a4de9a1c1d502a64c7a4e";"id-08bc8346417f44dd9251c58cab455d0b";""
